# ORT reference, 276 tensors matching 'nonlin_attention'
# tokens=[[28, 120, 18, 74, 26, 32]] prompt=[[120, 54, 122, 24, 3, 24]] frames=57 speed=1.0
# op                 shape                       min          max         mean  name
  Constant           []                            0            0            0  /text_encoder/0/layers.0/nonlin_attention/Constant_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.0/nonlin_attention/Constant_1_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.0/nonlin_attention/Constant_2_output_0
  Constant           [1]                           0            0            0  /text_encoder/0/layers.0/nonlin_attention/Constant_3_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.0/nonlin_attention/Constant_4_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.0/nonlin_attention/Constant_5_output_0
  Constant           [1]                           1            1            1  /text_encoder/0/layers.0/nonlin_attention/Constant_6_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.0/nonlin_attention/Constant_7_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.0/nonlin_attention/Constant_8_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.0/nonlin_attention/Constant_9_output_0
  Constant           [1]                         144          144          144  /text_encoder/0/layers.0/nonlin_attention/Constant_10_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.0/nonlin_attention/Constant_11_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.0/nonlin_attention/Constant_12_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.0/nonlin_attention/Constant_13_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.0/nonlin_attention/Constant_14_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.0/nonlin_attention/Constant_15_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.1/nonlin_attention/Constant_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.1/nonlin_attention/Constant_1_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.1/nonlin_attention/Constant_2_output_0
  Constant           [1]                           0            0            0  /text_encoder/0/layers.1/nonlin_attention/Constant_3_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.1/nonlin_attention/Constant_4_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.1/nonlin_attention/Constant_5_output_0
  Constant           [1]                           1            1            1  /text_encoder/0/layers.1/nonlin_attention/Constant_6_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.1/nonlin_attention/Constant_7_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.1/nonlin_attention/Constant_8_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.1/nonlin_attention/Constant_9_output_0
  Constant           [1]                         144          144          144  /text_encoder/0/layers.1/nonlin_attention/Constant_10_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.1/nonlin_attention/Constant_11_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.1/nonlin_attention/Constant_12_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.1/nonlin_attention/Constant_13_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.1/nonlin_attention/Constant_14_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.1/nonlin_attention/Constant_15_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.2/nonlin_attention/Constant_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.2/nonlin_attention/Constant_1_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.2/nonlin_attention/Constant_2_output_0
  Constant           [1]                           0            0            0  /text_encoder/0/layers.2/nonlin_attention/Constant_3_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.2/nonlin_attention/Constant_4_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.2/nonlin_attention/Constant_5_output_0
  Constant           [1]                           1            1            1  /text_encoder/0/layers.2/nonlin_attention/Constant_6_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.2/nonlin_attention/Constant_7_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.2/nonlin_attention/Constant_8_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.2/nonlin_attention/Constant_9_output_0
  Constant           [1]                         144          144          144  /text_encoder/0/layers.2/nonlin_attention/Constant_10_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.2/nonlin_attention/Constant_11_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.2/nonlin_attention/Constant_12_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.2/nonlin_attention/Constant_13_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.2/nonlin_attention/Constant_14_output_0
  Constant           [1]                          -1           -1           -1  /text_encoder/0/layers.2/nonlin_attention/Constant_15_output_0
  Constant           []                            0            0            0  /text_encoder/0/layers.3/nonlin_attention/Constant_output_0
  Constant           []                            1            1            1  /text_encoder/0/layers.3/nonlin_attention/Constant_1_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.3/nonlin_attention/Constant_2_output_0
  Constant           [1]                           0            0            0  /text_encoder/0/layers.3/nonlin_attention/Constant_3_output_0
  Constant           [1]                           2            2            2  /text_encoder/0/layers.3/nonlin_attention/Constant_4_output_0
  Constant           [1]                           3            3            3  /text_encoder/0/layers.3/nonlin_attention/Constant_5_output_0
